PrimaryPropertyType,YearBuilt,NumberofBuildings,NumberofFloors,LargestPropertyUseType,LargestPropertyUseTypeGFA,ENERGYSTARScore,SiteEnergyUseWN(kBtu),TotalGHGEmissions
Large Office,1905,1.0,6,Office,110370.0,70.0,7046428.5,47.39
Large Office,1910,1.0,6,Office,80400.0,86.0,5268183.0,97.82
Retail Store,1910,1.0,6,Other,67670.0,89.0,3350477.0,69.02
Large Office,1951,1.0,2,Office,110746.0,66.0,10622784.0,157.48
Other,1960,1.0,1,Distribution Center,99551.0,95.0,1015060.188,7.08
Warehouse,1951,1.0,4,Non-Refrigerated Warehouse,119593.0,97.0,2869350.25,95.86
Warehouse,1951,1.0,3,Non-Refrigerated Warehouse,129420.0,12.0,6562048.5,75.29
Other,1970,1.0,1,Distribution Center,44300.0,55.0,2882685.0,19.86
Other,1961,1.0,1,Distribution Center,73335.0,,5459973.5,155.74
Other,1928,1.0,2,Distribution Center,48400.0,,2015776.625,48.5
Warehouse,1931,1.0,2,Non-Refrigerated Warehouse,61200.0,16.0,5285776.5,178.62
Other,1987,1.0,1,Distribution Center,109090.0,87.0,1667059.125,34.14
Other,1986,3.0,2,Other,65700.0,,7448018.0,168.5
Mixed Use Property,1930,3.0,2,Non-Refrigerated Warehouse,58605.0,,3714717.25,25.37
Small- and Mid-Sized Office,2001,1.0,4,Office,70074.0,5.0,4817062.0,33.58
Other,2006,1.0,6,Other,119570.0,,25736450.0,710.7
Large Office,2008,1.0,4,Office,105206.0,73.0,8873485.0,61.86
Small- and Mid-Sized Office,2000,1.0,2,Office,77174.0,33.0,5481549.0,38.21
Large Office,1998,1.0,5,Office,98781.0,57.0,6859198.0,47.82
Mixed Use Property,2008,1.0,5,Parking,97500.0,,21299472.0,314.43
Other,1999,1.0,4,Other,97365.0,,35938164.0,1154.79
Large Office,2000,1.0,7,Office,163082.0,88.0,8732968.0,68.06
Large Office,1974,1.0,5,Office,89075.0,85.0,5034942.5,65.03
Large Office,1975,1.0,8,Office,126648.0,65.0,9836703.0,119.93
Large Office,1953,1.0,7,Office,274362.0,82.0,16572684.0,147.82
Large Office,1983,1.0,15,Office,270237.0,85.0,18235512.0,246.83
Other,1981,1.0,33,Other,218997.0,98.0,274725984.0,1921.82
Large Office,1985,1.0,76,Office,886524.7200000013,86.0,92537256.0,882.56
Other,1925,1.0,18,Medical Office,281598.0,68.0,23128454.0,582.28
Retail Store,1929,1.0,4,Retail Store,78920.0,80.0,8303666.5,109.85
Other,1999,1.0,0,Other,561684.0,,46343304.0,324.25
Mixed Use Property,1908,1.0,4,Office,17120.0,,3904791.25,150.88
Retail Store,1940,1.0,3,Retail Store,45000.0,59.0,2533838.5,27.82
Retail Store,1924,1.0,3,Retail Store,73563.0,39.0,7802205.5,54.4
Small- and Mid-Sized Office,1909,1.0,6,Office,44913.0,57.0,2886141.5,20.12
Large Office,1970,1.0,29,Office,371450.0,43.0,37351804.0,426.39
Large Office,1929,1.0,27,Office,182604.0,62.0,17352520.0,639.72
Large Office,1921,1.0,13,Office,151740.0,13.0,19036416.0,132.71
Large Office,1998,1.0,13,Office,145491.0,25.0,17267470.0,119.03
Large Office,1910,1.0,7,Office,95942.0,91.0,4675881.5,41.8
Small- and Mid-Sized Office,1921,1.0,3,Office,50250.0,89.0,2038746.5,13.72
Large Office,1911,1.0,17,Office,82053.0,75.0,7066534.5,169.06
Other,1988,1.0,5,Medical Office,81873.0,15.0,8588643.0,89.41
Other,1916,1.0,2,College/University,60122.0,,745830.3125,9.31
Small- and Mid-Sized Office,1910,1.0,6,Office,84481.0,83.0,4269199.5,31.43
Large Office,1971,1.0,9,Office,204993.0,79.0,16162013.0,390.67
Large Office,1998,1.0,8,Office,343400.0,96.0,13568148.0,94.59
Other,1939,1.0,2,Other,58500.0,,1849863.625,51.56
Small- and Mid-Sized Office,1907,1.0,6,Office,49473.0,30.0,4353025.0,30.35
Other,1944,1.0,4,Other,50036.0,,14522162.0,179.45
Warehouse,1952,1.0,2,Non-Refrigerated Warehouse,101752.0,,3847929.5,111.23
Other,1970,1.0,1,Other,152511.0,,6837936.0,46.52
Small- and Mid-Sized Office,1950,1.0,1,Office,101278.0,95.0,6612733.0,152.28
Large Office,1973,1.0,2,Office,141917.0,67.0,7181600.0,60.92
Warehouse,1966,1.0,1,Non-Refrigerated Warehouse,56900.0,11.0,1951856.25,13.61
Other,1969,1.0,1,Distribution Center,71718.0,100.0,151754.2969,1.06
Warehouse,1969,1.0,1,Non-Refrigerated Warehouse,34206.0,31.0,4843056.0,131.64
Other,1979,1.0,1,Distribution Center,55000.0,32.0,3013861.5,89.53
Retail Store,1992,1.0,1,Retail Store,99471.0,81.0,7728856.5,158.55
Other,2002,1.0,6,Parking,232685.0,,9158207.0,119.92
Other,1963,1.0,1,Supermarket/Grocery Store,27382.0,57.0,7593035.0,195.43
Small- and Mid-Sized Office,1929,1.0,3,Office,81526.0,1.0,38074932.0,166.13
Other,1986,1.0,1,Distribution Center,288048.0,43.0,16973858.0,455.39
Large Office,2008,1.0,4,Office,149081.0,77.0,9683979.0,67.51
Small- and Mid-Sized Office,1900,1.0,6,Office,95760.0,83.0,5587502.5,74.45
Warehouse,1946,1.0,1,Non-Refrigerated Warehouse,178087.0,57.0,3459543.0,24.12
Warehouse,1966,1.0,1,Non-Refrigerated Warehouse,164806.0,98.0,622185.6875,4.2
Large Office,1994,1.0,10,Office,220033.0,87.0,11518169.0,106.12
Large Office,2009,1.0,17,Office,295494.0,91.0,13631141.0,95.03
Mixed Use Property,2009,1.0,6,Office,41624.0,63.0,5034998.5,79.39
Retail Store,1956,1.0,2,Retail Store,85572.0,,5561522.5,110.41
Warehouse,1966,1.0,2,Non-Refrigerated Warehouse,112484.0,47.0,3004271.0,20.94
Other,2003,1.0,5,Medical Office,177748.0,70.0,9941308.0,69.3
Other,1994,4.180000000000064,14,Other,886524.7200000013,54.0,295929888.0,12307.16
Other,1928,3.0,4,Other,215197.0,,12637976.0,406.04
Mixed Use Property,2004,1.0,4,Other,26400.0,,2740574.75,20.85
Other,1990,1.0,5,Medical Office,146150.0,59.0,12814944.0,133.5
Other,1987,1.0,5,Other,87552.0,18.0,7947933.5,54.18
Hotel,2003,1.0,6,Hotel,100528.0,28.0,13961121.0,453.76
Other,1999,1.0,5,Other - Entertainment/Public Assembly,134197.0,,19009360.0,341.23
Warehouse,1988,1.0,4,Non-Refrigerated Warehouse,132828.0,83.0,1083729.625,7.56
Warehouse,1970,1.0,1,Non-Refrigerated Warehouse,58047.0,1.0,14128860.0,284.01
Retail Store,1995,1.0,1,Retail Store,130767.0,60.0,11474490.0,295.12
Other,1974,2.0,4,College/University,114000.0,,7575080.0,109.71
Other,1910,1.0,6,Medical Office,236359.0,57.0,25585012.0,189.85
Retail Store,1958,1.0,1,Retail Store,74178.0,,5617868.0,134.82
Warehouse,1987,1.0,4,Non-Refrigerated Warehouse,80360.0,96.0,755287.5,16.27
Other,1996,1.0,3,Supermarket/Grocery Store,46280.0,71.0,10434333.0,267.0
Other,2008,1.0,2,Other,48103.0,,1935438.625,13.51
Mixed Use Property,1921,1.0,3,Office,26044.0,3.0,7070998.5,49.29
Large Office,1960,1.0,3,Office,65434.0,1.0,17877436.0,128.73
Other,2000,1.0,3,Other,91064.0,32.0,2090011.625,25.6
Warehouse,1976,1.0,1,Non-Refrigerated Warehouse,40000.0,1.0,1692054.125,11.29
Other,1965,1.0,1,Distribution Center,27800.0,13.0,1337789.75,24.39
Warehouse,2001,1.0,1,Non-Refrigerated Warehouse,46340.0,3.0,2564004.0,17.87
Small- and Mid-Sized Office,1910,1.0,3,Office,38460.0,69.0,2064345.875,36.02
Other,1922,1.0,2,Worship Facility,21022.0,54.0,1078904.0,43.84
Warehouse,1979,1.0,1,Non-Refrigerated Warehouse,23620.0,,526955.3125,3.58
Warehouse,1979,1.0,1,Non-Refrigerated Warehouse,24280.0,,369291.5,2.57
Other,1928,1.0,3,Other,36185.0,,11316338.0,416.07
Other,1914,1.0,2,Worship Facility,33589.0,90.0,606874.5,21.93
Small- and Mid-Sized Office,1979,1.0,3,Office,43495.0,46.0,3220635.25,22.65
Other,1977,1.0,3,Other,22719.0,,1358519.0,9.47
Other,1946,1.0,2,Other,69000.0,,7251589.0,50.55
Retail Store,1917,1.0,2,Retail Store,147545.0,69.0,7339108.0,169.75
Other,1923,1.0,2,Other,25778.0,,1207838.75,7.77
Other,1917,1.0,2,Other,23835.0,,1587238.0,63.48
Other,1955,1.0,2,Other,31020.0,,5231756.5,207.6
Small- and Mid-Sized Office,1917,1.0,2,Office,14400.0,,1636649.125,29.62
Small- and Mid-Sized Office,1974,1.0,5,Office,37993.0,59.0,4673727.5,141.2
Small- and Mid-Sized Office,1942,1.0,3,Office,64630.0,96.0,1408291.375,9.82
Retail Store,1968,1.0,1,Retail Store,40000.0,98.0,959683.125,24.02
Other,2002,1.0,1,Other,29924.0,,0.0,0.0
Other,1949,1.0,2,Worship Facility,15364.0,86.0,1110209.25,43.8
Other,1928,1.0,3,College/University,21600.0,,359207.1875,6.33
Retail Store,1956,1.0,2,Retail Store,25562.0,20.0,4765879.0,154.17
Retail Store,2003,1.0,2,Retail Store,47465.0,82.0,3424428.0,29.54
Small- and Mid-Sized Office,1900,1.0,7,Office,26195.0,100.0,575362.5,9.95
Mixed Use Property,1978,1.0,2,Retail Store,15549.0,55.0,2249630.25,15.24
Small- and Mid-Sized Office,1906,1.0,5,Office,29040.0,24.0,1997288.75,13.87
Retail Store,1906,1.0,2,Retail Store,36019.0,86.0,1245187.5,8.68
Small- and Mid-Sized Office,1979,1.0,3,Office,39000.0,51.0,2067352.5,14.63
Retail Store,1931,1.0,2,Retail Store,26270.0,32.0,1667641.25,33.78
Small- and Mid-Sized Office,1926,1.0,3,Office,49800.0,50.0,2385395.0,16.63
Mixed Use Property,1954,1.0,2,Other,12960.0,,450780.1875,2.92
Hotel,1990,1.0,5,Hotel,57800.0,87.0,2466522.25,66.29
Other,1955,1.0,2,Other,31160.0,2.0,1788951.625,12.95
Small- and Mid-Sized Office,1925,1.0,2,Office,25920.0,53.0,1523175.125,41.69
Other,1923,1.0,3,Other,22381.0,,3625967.75,126.78
Retail Store,1925,1.0,1,Retail Store,13940.0,,485607.1875,11.14
Other,1952,1.0,4,Medical Office,26670.0,51.0,1640803.5,10.83
Other,1922,1.0,2,Other,38939.0,,3356598.0,86.02
Hotel,1967,1.0,4,Hotel,52668.0,61.0,2736926.5,72.78
Mixed Use Property,2006,1.0,2,Other,8969.0,,2622096.5,30.6
Other,1921,1.0,3,Other,21499.0,85.0,605130.6875,4.22
Retail Store,1956,1.0,2,Retail Store,31905.0,,5322918.5,47.12
Retail Store,1956,1.0,2,Retail Store,52784.0,18.0,6890861.0,63.61
Retail Store,1956,1.0,1,Retail Store,21909.0,67.0,2621259.25,28.41
Retail Store,1997,1.0,1,Retail Store,59396.0,,4670313.0,47.66
Other,1923,1.0,3,Other,19200.0,,4712960.5,101.99
Other,1927,1.0,4,Other,25876.0,81.0,2013033.75,74.92
Hotel,1960,1.0,7,Hotel,61180.0,24.0,4077797.0,126.3
Small- and Mid-Sized Office,1978,1.0,5,Office,32569.0,51.0,3603400.0,99.15
Other,1910,1.0,2,Worship Facility,23931.0,88.0,0.0,18.66
Other,1948,1.0,2,Worship Facility,21393.0,57.0,981916.5,32.64
Other,2006,1.0,6,Senior Care Community,35696.0,100.0,1147752.25,34.98
Other,1910,1.0,3,College/University,28800.0,,773795.625,8.45
Other,1995,1.0,3,K-12 School,22860.0,43.0,990507.3125,6.49
Other,1965,1.0,2,Worship Facility,21732.0,2.0,942745.6875,23.59
Retail Store,1900,1.0,3,Retail Store,32960.0,71.0,813641.0,5.67
Hotel,1930,1.0,3,Hotel,20571.0,72.0,759756.5,4.99
Other,1993,1.0,3,Other,22000.0,16.0,2759011.75,89.57
Other,2000,1.0,2,Worship Facility,30000.0,52.0,0.0,27.14
Small- and Mid-Sized Office,2012,1.0,2,Office,55000.0,68.0,2641681.75,20.08
Hotel,1925,1.0,9,Hotel,96000.0,8.0,9037184.0,355.8
Other,1981,1.0,3,Senior Care Community,58665.0,98.0,3397766.5,23.15
Mixed Use Property,2007,1.0,2,Non-Refrigerated Warehouse,16826.0,,1894318.875,26.11
Other,1969,1.0,2,Other,21790.0,,2283131.0,33.37
Small- and Mid-Sized Office,1900,1.0,5,Office,37120.0,77.0,2388675.5,49.98
Hotel,1926,1.0,11,Hotel,36240.0,98.0,2390584.0,120.91
Other,1908,1.0,5,Other,41536.0,,2735166.0,19.07
Hotel,1909,1.0,6,Hotel,35820.0,94.0,3547995.75,130.58
Other,1965,1.0,3,K-12 School,49744.0,98.0,2421669.75,89.29
Other,1923,1.0,2,Worship Facility,19407.0,60.0,1565229.75,43.45
Mixed Use Property,1930,1.0,2,Non-Refrigerated Warehouse,8914.82,,4345884.5,188.67
Other,1984,1.0,1,Other,50000.0,,6405464.5,210.3
Small- and Mid-Sized Office,1981,1.0,3,Office,45000.0,60.0,2695090.5,34.15
Warehouse,1985,1.0,1,Non-Refrigerated Warehouse,61419.0,36.0,1908057.875,13.16
Other,1990,1.0,2,Medical Office,39000.0,25.0,2654904.25,33.92
Other,1924,1.0,1,Other,14000.0,,5211179.5,147.0
Other,1953,1.0,1,Other,25480.0,,741287.1875,5.17
Warehouse,1970,1.0,2,Non-Refrigerated Warehouse,31000.0,,2315087.75,19.93
Small- and Mid-Sized Office,1961,1.0,1,Office,17804.0,57.0,1533262.0,19.82
Other,1954,1.0,1,Distribution Center,20736.0,,484136.8125,13.02
Small- and Mid-Sized Office,2009,1.0,3,Office,29035.0,,2035301.25,19.04
Other,1963,1.0,2,Other,20047.0,,128383.8984,0.82
Warehouse,1955,1.0,2,Non-Refrigerated Warehouse,32700.0,91.0,248616.0,1.73
Other,1962,1.0,1,Supermarket/Grocery Store,25883.0,38.0,9072714.0,247.85
Other,1948,1.0,1,Other - Recreation,14317.0,,2607414.75,83.1
Other,1955,1.0,1,Distribution Center,33987.0,92.0,243518.2031,1.7
Warehouse,1953,1.0,1,Non-Refrigerated Warehouse,31521.0,6.0,1823198.75,61.71
Warehouse,1951,1.0,1,Non-Refrigerated Warehouse,20400.0,,1510110.25,46.64
Other,1998,1.0,1,Distribution Center,35579.0,72.0,1259267.75,39.05
Other,1976,1.0,2,Other,38787.0,,3513828.25,67.52
Other,1988,2.0,2,Self-Storage Facility,50369.0,,897822.875,28.58
Other,1922,1.0,3,K-12 School,33550.0,99.0,1095913.75,29.82
Other,1963,1.0,2,Worship Facility,26210.0,55.0,1238854.625,47.59
Other,1956,1.0,1,Distribution Center,27000.0,61.0,735187.125,18.85
Small- and Mid-Sized Office,1957,1.0,2,Office,13945.0,99.0,361542.0938,2.52
Small- and Mid-Sized Office,1961,1.0,3,Office,29392.0,91.0,804510.375,6.18
Large Office,1985,1.0,5,Office,77796.0,62.0,4843339.0,32.8
Large Office,2013,1.0,5,Office,101941.0,98.0,4515744.5,72.26
Small- and Mid-Sized Office,1900,1.0,2,Office,20500.0,48.0,1326178.125,11.27
Other,1966,1.0,2,Senior Care Community,36000.0,3.0,12805711.0,480.9
Other,1930,1.0,2,Worship Facility,25521.0,82.0,685885.625,15.47
Other,1986,1.0,1,K-12 School,23190.0,79.0,1929416.5,68.14
Small- and Mid-Sized Office,1960,1.0,1,Office,23100.0,98.0,875049.6875,32.63
Other,1922,1.0,3,K-12 School,33780.0,43.0,2959193.75,106.45
Other,1954,1.0,2,Worship Facility,44816.0,69.0,2095655.25,68.97
Other,1966,1.0,2,Senior Care Community,41922.0,51.0,7048919.0,235.26
Other,1976,1.0,1,Other,45320.0,,10234721.0,348.22
Small- and Mid-Sized Office,1982,1.0,2,Office,31800.0,69.0,1575328.25,10.26
Small- and Mid-Sized Office,1970,1.0,2,Office,27185.0,67.0,1322894.5,8.85
Other,1970,1.0,1,Other - Recreation,20560.0,,452612.5,3.16
Small- and Mid-Sized Office,1969,1.0,2,Office,23272.0,,1853911.875,45.79
Small- and Mid-Sized Office,1969,1.0,2,Office,24988.0,41.0,2498335.25,81.96
Warehouse,1969,1.0,1,Non-Refrigerated Warehouse,21386.0,65.0,222600.0938,1.55
Mixed Use Property,1998,1.0,1,Office,8914.82,,690322.6875,18.16
Small- and Mid-Sized Office,1985,1.0,3,Office,26295.0,94.0,1214408.75,28.09
Other,1928,1.0,6,Self-Storage Facility,46580.0,,778702.125,4.95
Retail Store,1916,1.0,2,Retail Store,25920.0,5.0,478690.0938,3.34
Retail Store,1919,1.0,2,Retail Store,38880.0,93.0,1046976.813,13.71
Small- and Mid-Sized Office,1919,1.0,2,Office,23995.0,75.0,1945839.625,46.48
Small- and Mid-Sized Office,1925,1.0,4,Office,39760.0,92.0,2741556.25,149.91
Other,1920,1.0,3,Other,30971.0,,2974354.25,94.85
Warehouse,1927,1.0,2,Non-Refrigerated Warehouse,18740.0,,2339649.75,60.88
Mixed Use Property,2001,4.180000000000064,3,Other,14273.0,,4288601.5,110.17
Small- and Mid-Sized Office,2001,1.0,5,Office,15908.0,79.0,1291405.25,9.0
Retail Store,1911,1.0,2,Retail Store,10155.0,98.0,1109483.125,42.04
Retail Store,1906,1.0,3,Retail Store,22218.0,88.0,1215156.25,8.47
Other,1984,1.0,1,Distribution Center,26532.0,5.0,2261229.0,66.53
Small- and Mid-Sized Office,1981,1.0,2,Office,19600.0,,605182.6875,9.46
Other,1969,1.0,1,Other,30730.0,,3269018.5,73.52
Small- and Mid-Sized Office,1986,1.0,2,Office,36839.0,47.0,2195095.5,18.34
Other,1949,1.0,3,Worship Facility,57200.0,81.0,2158433.5,82.34
Small- and Mid-Sized Office,1986,1.0,3,Office,40067.0,43.0,2303732.75,16.06
Small- and Mid-Sized Office,1989,1.0,3,Office,26419.0,67.0,1074989.0,7.49
Small- and Mid-Sized Office,1979,1.0,3,Office,25262.0,54.0,1508578.25,23.85
Small- and Mid-Sized Office,1980,1.0,3,Office,32739.0,57.0,1785202.125,11.29
Small- and Mid-Sized Office,1980,1.0,3,Office,70296.0,86.0,3018885.75,19.39
Small- and Mid-Sized Office,1902,1.0,4,Office,27838.0,77.0,1265151.625,8.49
Other,1971,2.0,2,Distribution Center,35300.0,,1931830.75,30.02
Other,1964,1.0,2,Other,92129.0,,5368434.5,127.1
Other,1961,1.0,1,Other - Recreation,20236.0,,2089365.125,49.58
Other,1970,1.0,4,Other,25557.0,,2280352.5,15.9
Other,1958,1.0,2,Other,16243.0,,3320817.0,122.73
Other,2009,1.0,1,Other,19050.0,,1296995.0,32.86
Small- and Mid-Sized Office,2001,1.0,2,Office,26275.0,27.0,1871245.75,12.35
Other,2007,1.0,2,Other - Recreation,45000.0,,6104259.5,176.79
Other,1949,1.0,1,Worship Facility,30044.0,78.0,1343672.875,45.33
Other,2007,1.0,4,K-12 School,49468.0,82.0,2115259.0,61.98
Other,1970,1.0,2,Senior Care Community,46539.0,73.0,5589312.5,180.38
Other,1909,1.0,4,Other,29796.0,47.0,2309752.75,79.58
Small- and Mid-Sized Office,1918,1.0,3,Office,37853.0,98.0,1262255.75,8.8
Mixed Use Property,1928,1.0,2,Non-Refrigerated Warehouse,14400.0,,521523.1875,12.77
Other,1955,1.0,5,Worship Facility,31945.0,4.0,1806468.0,12.59
Small- and Mid-Sized Office,1985,1.0,5,Office,52908.0,43.0,4480961.0,31.24
Other,1968,1.0,3,Worship Facility,75058.0,24.0,6207115.5,247.97
Retail Store,1915,1.0,1,Retail Store,16200.0,2.0,2147472.5,20.76
Small- and Mid-Sized Office,1907,1.0,6,Office,35200.0,8.0,2998208.25,20.9
Other,1941,1.0,2,Other,23230.0,60.0,1356947.75,9.3
Small- and Mid-Sized Office,1928,1.0,4,Office,15609.0,17.0,2991557.25,73.61
Other,1964,1.0,4,Other,52284.0,,8491346.0,101.34
Other,1962,1.0,2,Medical Office,21571.0,2.0,3129807.0,85.55
Other,1988,1.0,5,Other,45780.0,,11542708.0,462.4
Other,1916,1.0,3,Other - Entertainment/Public Assembly,35886.0,,1255324.0,55.61
Small- and Mid-Sized Office,1993,1.0,1,Office,18380.0,,5355753.0,37.34
Warehouse,1960,1.0,1,Non-Refrigerated Warehouse,36444.0,80.0,169464.0938,1.12
Warehouse,1950,1.0,1,Non-Refrigerated Warehouse,27553.0,63.0,1054377.75,31.61
Other,1951,3.0,1,Distribution Center,57310.0,,1395637.75,34.87
Mixed Use Property,1920,1.0,2,Office,10109.0,,1071271.0,16.57
Other,1919,1.0,3,Other,40686.0,,2188575.25,73.0
Retail Store,1964,1.0,2,Retail Store,45271.0,57.0,2912179.5,82.72
Small- and Mid-Sized Office,1920,1.0,3,Office,28380.0,62.0,1503529.375,35.77
Large Office,2009,1.0,5,Office,329850.0,77.0,28053172.0,487.53
Small- and Mid-Sized Office,1926,1.0,3,Office,23730.0,95.0,1074761.125,32.09
Small- and Mid-Sized Office,1926,1.0,1,Office,37481.0,1.0,7419337.0,73.48
Other,2009,1.0,3,Worship Facility,23241.0,66.0,789925.875,20.64
Other,1962,1.0,1,Other,155795.0,,18847708.0,255.83
Other,2002,1.0,1,Other,21018.0,,1789470.75,24.62
Other,1998,1.0,1,Other,28631.0,,6193701.5,192.12
Other,1961,1.0,2,Other - Recreation,50000.0,,18163924.0,523.95
Other,1992,1.0,2,Other,33000.0,,2470816.0,41.06
Small- and Mid-Sized Office,1999,1.0,4,Office,38038.0,84.0,2040142.0,13.97
Small- and Mid-Sized Office,2007,1.0,4,Office,41591.0,92.0,2739358.75,77.8
Small- and Mid-Sized Office,1926,1.0,4,Office,22341.0,77.0,1979164.25,13.33
Mixed Use Property,1964,1.0,4,Office,8914.82,41.0,585965.6875,3.94
Other,1966,1.0,1,Other,49680.0,,2890473.75,119.34
Other,1962,1.0,1,Other,36314.0,,1882952.875,44.33
Other,1916,1.0,2,Other - Entertainment/Public Assembly,11888.0,,1230670.25,8.77
Small- and Mid-Sized Office,1919,1.0,4,Office,25500.0,72.0,2223121.25,77.48
Mixed Use Property,1918,1.0,1,Other,8914.82,,5123179.0,143.34
Small- and Mid-Sized Office,1909,1.0,5,Office,68048.0,100.0,1634178.25,14.13
Mixed Use Property,1910,1.0,3,Office,12714.0,,2370772.25,75.99
Small- and Mid-Sized Office,2000,1.0,3,Office,36959.0,13.0,3205182.5,22.46
Small- and Mid-Sized Office,1964,1.0,5,Office,57972.0,68.0,3658985.5,41.22
Small- and Mid-Sized Office,1959,1.0,2,Office,21128.0,97.0,436604.0938,3.04
Mixed Use Property,2008,1.0,4,Hotel,108763.0,,9512996.0,220.26
Small- and Mid-Sized Office,2013,1.0,3,Office,54150.0,,1539066.375,10.73
Hotel,1959,1.0,4,Hotel,38500.0,37.0,2874815.0,75.25
Other,1960,1.0,1,Worship Facility,27338.0,56.0,682542.8125,4.05
Other,1999,1.0,2,Parking,65000.0,,2278550.5,77.76
Small- and Mid-Sized Office,1930,1.0,3,Office,45864.0,94.0,3034554.5,115.43
Other,1999,1.0,2,K-12 School,61099.0,23.0,3870672.5,104.91
Small- and Mid-Sized Office,1987,1.0,3,Office,33176.0,89.0,1513388.25,35.96
Other,1927,1.0,3,Other - Recreation,30095.0,,6014124.0,167.98
Other,1947,1.0,1,Other,31303.0,,3515178.25,111.73
Other,1922,1.0,2,Worship Facility,22688.0,87.0,391818.4063,7.07
Small- and Mid-Sized Office,1982,1.0,2,Office,40738.0,84.0,2001403.875,13.27
Small- and Mid-Sized Office,1953,1.0,2,Office,26580.0,,7588115.5,92.45
Other,2006,1.0,14,Senior Care Community,726000.0,8.0,39120828.0,913.07
Other,1957,1.0,1,Worship Facility,18278.0,96.0,531737.1875,3.71
Small- and Mid-Sized Office,1999,1.0,4,Office,10292.0,,973080.1875,6.35
Other,1950,1.0,1,Other,26660.0,,2241280.5,15.62
Warehouse,1964,1.0,1,Non-Refrigerated Warehouse,35000.0,53.0,378714.4063,2.64
Small- and Mid-Sized Office,1967,1.0,2,Office,24000.0,73.0,1148448.75,7.59
Other,1968,1.0,5,K-12 School,40809.0,38.0,2699616.0,73.26
Other,1954,1.0,2,Senior Care Community,51298.0,85.0,5847878.5,203.73
Warehouse,1979,1.0,1,Non-Refrigerated Warehouse,31600.0,3.0,3731853.25,103.28
Warehouse,2007,1.0,1,Non-Refrigerated Warehouse,35289.0,63.0,1010737.813,23.9
Warehouse,1981,1.0,1,Non-Refrigerated Warehouse,30000.0,50.0,2053772.75,80.09
Warehouse,1978,1.0,1,Non-Refrigerated Warehouse,22176.0,60.0,746905.625,32.77
Small- and Mid-Sized Office,1974,1.0,3,Office,39541.0,38.0,3832168.5,24.88
Other,1979,1.0,1,Other - Recreation,23320.0,,4513728.0,135.81
Other,1980,1.0,2,Medical Office,26930.0,64.0,1002995.0,6.99
Other,1968,1.0,2,Medical Office,65069.0,76.0,3073612.0,49.62
Other,1959,1.0,2,Self-Storage Facility,20296.0,,855665.125,5.97
Mixed Use Property,1945,1.0,2,Medical Office,10388.0,,1365716.125,27.41
Other,1967,1.0,3,Medical Office,35066.0,86.0,1807593.875,53.73
Other,1975,1.0,1,Supermarket/Grocery Store,34982.0,21.0,10821972.0,225.67
Small- and Mid-Sized Office,1927,1.0,3,Office,20000.0,,910117.6875,15.11
Other,1910,1.0,2,Worship Facility,21765.0,80.0,498909.0,17.38
Retail Store,1992,1.0,2,Retail Store,38845.0,82.0,6917280.0,215.56
Other,1953,1.0,1,Supermarket/Grocery Store,25946.0,40.0,8071987.5,173.75
Warehouse,1961,1.0,1,Non-Refrigerated Warehouse,37524.0,,1343671.0,25.09
Retail Store,1958,1.0,2,Retail Store,56193.0,,2580058.5,46.9
Other,1922,1.0,3,K-12 School,35448.0,97.0,1632148.75,60.34
Other,1966,1.0,1,Supermarket/Grocery Store,29214.0,8.0,9558542.0,208.53
Other,2000,1.0,1,Supermarket/Grocery Store,47034.0,34.0,14473242.0,384.85
Other,1961,1.0,1,Other - Recreation,29880.0,,1527101.375,45.38
Mixed Use Property,1910,1.0,2,Other,14840.0,,1111093.0,38.86
Warehouse,1975,1.0,3,Non-Refrigerated Warehouse,31932.0,3.0,3287502.0,78.22
Warehouse,1980,1.0,1,Non-Refrigerated Warehouse,39840.0,2.0,774360.0,5.24
Other,1924,1.0,2,Other,21528.0,,330300.5,6.61
Other,1942,1.0,2,Other,30554.0,,5205994.5,36.77
Retail Store,1996,1.0,1,Retail Store,23500.0,53.0,1149592.0,13.29
Other,1961,1.0,1,Supermarket/Grocery Store,25987.0,35.0,8746499.0,237.54
Small- and Mid-Sized Office,1992,1.0,3,Office,16766.0,,1186733.125,8.42
Small- and Mid-Sized Office,1982,1.0,3,Office,25859.0,88.0,916019.375,14.9
Small- and Mid-Sized Office,2008,1.0,4,Office,33385.0,89.0,1294615.25,9.03
Warehouse,1960,1.0,1,Non-Refrigerated Warehouse,56884.0,71.0,1577967.75,37.49
Other,1980,1.0,3,Self-Storage Facility,30989.0,,98862.89844,0.68
Other,1915,1.0,3,Self-Storage Facility,39952.0,,58114.19922,0.4
Other,1968,1.0,1,Distribution Center,31845.0,,503210.6875,11.08
Small- and Mid-Sized Office,2007,1.0,4,Office,25184.0,96.0,845044.125,5.94
Warehouse,1927,1.0,4,Non-Refrigerated Warehouse,42500.0,100.0,262995.3125,1.68
Small- and Mid-Sized Office,1901,1.0,4,Office,14448.0,,1172535.25,7.82
Other,1900,1.0,3,Other,42850.0,,7536508.5,303.81
Small- and Mid-Sized Office,1968,1.0,2,Office,23500.0,26.0,1745284.25,34.52
Small- and Mid-Sized Office,1966,1.0,1,Office,22282.0,93.0,665681.875,16.67
Small- and Mid-Sized Office,1931,1.0,2,Office,37500.0,58.0,2448649.75,44.26
Other,2004,3.0,2,K-12 School,51515.0,5.0,4277566.0,128.66
